step,hv,diffToOptimal
13,0.41918395504978084,0.526863308976502
26,0.47612121840430444,0.46992604562197837
66,0.528997277726501,0.41704998629978185
133,0.5813187173635652,0.3647285466627176
266,0.5989585607526452,0.3470887032736376
666,0.7825759108413153,0.16347135318496753
1333,0.8706094371969463,0.07543782682933653
2666,0.9267589112657479,0.019288352760534866
4000,0.9408583614214072,0.005188902604875589
5333,0.9441121286170655,0.0019351354092173034
6666,0.9450340681921295,0.0010131958341532687
8000,0.9453577059502917,0.0006895580759911368
9333,0.9455426482575116,0.0005046157687712549
10666,0.9456453815187637,0.0004018825075191579
12000,0.9457224132896718,0.0003248507366110376
13333,0.9457822492795668,0.0002650147467160302
14666,0.9458256941725188,0.00022156985376398097
16000,0.9458602346673924,0.0001870293588903671
17333,0.9458881872109876,0.00015907681529525597
18666,0.9459060137509975,0.00014125027528533174
20000,0.9459233614389679,0.00012390258731487247
21333,0.9459417888193018,0.00010547520698100943
22666,0.9459524878283307,9.477619795206227e-05
24000,0.945963018428561,8.424559772179929e-05
25100,0.945970300183667,7.696384261579592e-05
